"","SAMPLE_ID","CLAY","SILT","SAND","SOC","CaCO3","N","P","K","CEC","GPS_PROJ","GPS_LAT","GPS_LONG","LC1","LC2","LU1","LU2","MINERAL","COUNTRY"
"641","1815",5,23,72,9.6,1,1,68.1,57.5,4.9,"WGS84",51.7827,7.02847,"B16","8","U111","8","mineral","GERMANY"
"642","1816",14,26,60,13.2,4,1.4,105.6,209.2,12.5,"WGS84",51.75553,7.4073,"B11","8","U111","8","mineral","GERMANY"
"643","1817",4,8,88,28.6,3,1.6,41.4,104.9,9.3,"WGS84",51.85743,7.13978,"B16","8","U111","8","mineral","GERMANY"
"644","1819",14,52,33,14.1,3,1.5,61.7,316.8,13.3,"WGS84",51.51301,12.14676,"B23","8","U111","8","mineral","GERMANY"
"645","1820",19,57,25,27.4,1,2,22.1,0,7.1,"WGS84",50.22388,8.19234,"C30","8","U120","8","mineral","GERMANY"
"646","1821",16,75,9,71.6,0,3.5,30.1,97,11.8,"WGS84",51.20411,8.92686,"C30","8","U120","8","mineral","GERMANY"
"647","1822",32,57,11,65.6,1,3,17.2,84.6,14.1,"WGS84",51.23805,8.7256,"C10","8","U120","8","mineral","GERMANY"
"648","1823",27,52,21,23.6,0,2.3,77.5,417.9,9.2,"WGS84",51.20209,8.72656,"B18","8","U111","8","mineral","GERMANY"
"649","1824",23,56,20,25.1,0,2.3,16.1,76,9.5,"WGS84",51.13008,8.72853,"E20","8","U120","8","mineral","GERMANY"
"650","1825",21,52,28,43.4,1,3.8,24.8,89.6,7.3,"WGS84",51.14654,8.58516,"E20","8","U111","U150","mineral","GERMANY"
"651","1826",29,56,15,167.3,0,8.6,15.3,90.6,15.8,"WGS84",51.12717,8.4714,"C30","8","U120","8","organic","GERMANY"
"652","1827",20,56,25,46.6,1,2.9,11.8,54,9.7,"WGS84",51.35594,8.14769,"C20","8","U120","8","mineral","GERMANY"
"653","1828",23,60,17,52.7,0,3.2,16.1,59.4,12.2,"WGS84",51.481,8.08528,"C10","8","U120","U361","mineral","GERMANY"
"654","1829",20,39,41,19,5,1.8,48.9,147.3,17.8,"WGS84",51.75326,8.2478,"B15","8","U111","8","mineral","GERMANY"
